,GISJOIN,cluster_id,distance,is_parent,frac_distance,sample_percent
119,G0500330,28,1.0454545454545041,1.0,0.0,0.05
120,G0500350,46,23.698795180722982,0.0,0.22088878326996336,0.09417775665399268
121,G0500370,51,37.1673819742482,0.0,0.7708333333333334,0.20416666666666666
122,G0500390,48,0.7709359605905775,0.0,0.01012052626734536,0.05202410525346907
123,G0500410,29,6.633116883116827,0.0,0.12982644961657272,0.07596528992331456
124,G0500430,5,42.74371859296525,0.0,0.8762566069022718,0.2252513213804544
125,G0500450,22,132.7391304347825,0.0,0.8166351606805281,0.21332703213610565
126,G0500470,51,16.1673819742482,0.0,0.3333333333333333,0.11666666666666667
127,G0500490,29,43.36688311688317,0.0,0.8908919682496994,0.22817839364993991
128,G0500510,0,32.05797101449275,0.0,0.2364363221016562,0.09728726442033124
129,G0500530,29,40.63311688311683,0.0,0.8342526570698233,0.21685053141396465
130,G0500550,16,50.49285714285725,0.0,0.46226415094339623,0.14245283018867927
131,G0500570,51,43.8326180257518,0.0,0.9096924177396583,0.23193848354793167
132,G0500590,24,95.49479166666629,0.0,0.8962264150943396,0.22924528301886793
133,G0500610,51,11.832618025751799,0.0,0.24302575107299162,0.09860515021459833
134,G0500630,55,21.3793103448279,0.0,0.2791017415215422,0.10582034830430845
135,G0500650,51,44.8326180257518,0.0,0.9305257510729916,0.23610515021459832
136,G0500670,5,19.25628140703475,0.0,0.3918540781428058,0.12837081562856117
137,G0500690,0,100.05797101449275,0.0,0.7723586521987436,0.2044717304397487
138,G0500710,41,30.220000000000255,0.0,0.5036937541974522,0.15073875083949045
139,G0500730,15,23.0378787878783,0.0,0.13696652530903106,0.07739330506180622
140,G0500750,5,7.7437185929652514,0.0,0.1544201471655243,0.08088402943310487
141,G0500770,29,27.633116883116827,0.0,0.5649132248082863,0.16298264496165726
142,G0500790,16,91.49285714285725,0.0,0.8490566037735849,0.219811320754717
143,G0500810,48,42.22906403940942,0.0,0.7844327905051225,0.20688655810102452
144,G0500830,51,32.8326180257518,0.0,0.6805257510729916,0.18610515021459834
145,G0500850,54,76.15384615384619,0.0,0.5578347578347583,0.16156695156695167
146,G0500870,51,9.832618025751799,0.0,0.20135908440632497,0.090271816881265
147,G0500890,48,0.22906403940942255,1.0,0.0,0.05
148,G0500910,24,84.49479166666629,0.0,0.7924528301886793,0.20849056603773586
149,G0500930,55,4.3793103448279,0.0,0.05316223648029375,0.06063244729605875
150,G0500950,48,5.2290640394094225,0.0,0.09338485601251459,0.06867697120250292
151,G0500970,15,32.0378787878783,0.0,0.1905621221690867,0.08811242443381734
152,G0500990,15,54.0378787878783,0.0,0.3215735811603338,0.11431471623206677
153,G0501010,48,30.229064039409423,0.0,0.5603091360750875,0.1620618272150175
154,G0501030,5,7.7437185929652514,0.0,0.1544201471655243,0.08088402943310487
155,G0501050,48,11.770935960590577,0.0,0.21556720949487745,0.0931134418989755
156,G0501070,51,10.832618025751799,0.0,0.22219241773965828,0.09443848354793166
157,G0501090,29,46.36688311688317,0.0,0.9530472218485156,0.24060944436970316
158,G0501110,55,34.3793103448279,0.0,0.45187901008249687,0.14037580201649938
159,G0501130,51,22.8326180257518,0.0,0.4721924177396583,0.14443848354793165
160,G0501150,28,24.045454545454504,0.0,0.26136363636363635,0.10227272727272728
161,G0501170,29,9.366883116883173,0.0,0.1864657607964487,0.08729315215928973
162,G0501190,32,224.05000000000018,0.0,0.6573648887318972,0.18147297774637944
163,G0501210,51,1.167381974248201,0.0,0.020833333333333332,0.05416666666666667
164,G0501230,46,63.69879518072298,0.0,0.6153754752851718,0.17307509505703436
165,G0501250,49,37.0,0.0,0.2846153846153846,0.10692307692307693
166,G0501270,48,26.770935960590577,0.0,0.49572177753242125,0.14914435550648425
167,G0501290,15,46.0378787878783,0.0,0.2739330506180621,0.10478661012361243
168,G0501310,35,70.32432432432506,0.0,0.27027027027027606,0.10405405405405521
169,G0501330,55,32.6206896551721,0.0,0.42850595783684214,0.13570119156736843
170,G0501350,29,46.63311688311683,0.0,0.9585631642674558,0.24171263285349115
171,G0501370,48,0.7709359605905775,0.0,0.01012052626734536,0.05202410525346907
172,G0501390,24,3.4947916666662877,0.0,0.02830188679245283,0.05566037735849057
173,G0501410,48,26.229064039409423,0.0,0.48560125126507586,0.14712025025301517
174,G0501430,45,241.46666666666715,0.0,0.8352490421455939,0.2170498084291188
175,G0501450,16,42.50714285714275,0.0,0.3869272237196746,0.12738544474393493
176,G0501470,48,41.77093596059058,0.0,0.775876345569965,0.20517526911399303
177,G0501490,24,39.50520833333371,0.0,0.3680227987421455,0.1236045597484291
178,G0600010,19,11.833333333335759,1.0,0.0,0.05
